t,sat,gss
50,1,SVA
51,1,SVA
52,1,SVA
53,1,SVA
54,1,SVA
55,1,SVA
56,1,SVA
57,1,SVA
58,1,SVA
59,1,SVA
60,1,SVA
61,1,SVA
62,1,SVA
63,1,SVA
64,1,SVA
65,1,SVA
66,1,SVA
67,1,SVA
68,1,SVA
69,1,SVA
70,1,SVA
71,1,SVA
72,1,SVA
73,1,SVA
74,1,SVA
75,1,SVA
76,1,SVA
77,1,SVA
78,1,SVA
79,1,SVA
80,1,SVA
81,1,SVA
82,1,SVA
83,1,SVA
84,1,SVA
85,1,SVA
86,1,SVA
87,1,SVA
88,1,SVA
89,1,SVA
90,1,SVA
91,1,SVA
92,1,SVA
93,1,SVA
94,1,SVA
95,1,SVA
96,1,SVA
97,1,SVA
98,1,SVA
99,1,SVA
100,1,SVA
101,1,SVA
102,1,SVA
103,1,SVA
104,1,SVA
105,1,SVA
106,1,SVA
107,1,SVA
108,1,SVA
109,1,SVA
110,1,SVA
111,1,SVA
112,1,SVA
113,1,SVA
114,1,SVA
115,1,SVA
116,1,SVA
117,1,SVA
118,1,SVA
119,1,SVA
120,1,SVA
121,1,SVA
122,1,SVA
123,1,SVA
124,1,SVA
125,1,SVA
126,1,SVA
127,1,SVA
128,1,SVA
129,1,SVA
130,1,SVA
131,1,SVA
132,1,SVA
133,1,SVA
134,1,SVA
135,1,SVA
136,1,SVA
137,1,SVA
138,1,SVA
139,1,SVA
140,1,SVA
141,1,SVA
142,1,SVA
143,1,SVA
144,1,SVA
145,1,SVA
146,1,SVA
147,1,SVA
148,1,SVA
149,1,SVA
150,1,SVA
151,1,SVA
152,1,SVA
153,1,SVA
154,1,SVA
155,1,SVA
156,1,SVA
157,1,SVA
158,1,SVA
159,1,SVA
160,1,SVA
161,1,SVA
162,1,SVA
163,1,SVA
164,1,SVA
165,1,SVA
166,1,SVA
167,1,SVA
168,1,SVA
169,1,SVA
170,1,SVA
171,1,SVA
172,1,SVA
173,1,SVA
174,1,SVA
175,1,SVA
176,1,SVA
177,1,SVA
178,1,SVA
179,1,SVA
180,1,SVA
181,1,SVA
182,1,SVA
183,1,SVA
184,1,SVA
185,1,SVA
186,1,SVA
187,1,SVA
188,1,SVA
189,1,SVA
190,1,SVA
191,1,SVA
192,1,SVA
193,1,SVA
194,1,SVA
195,1,SVA
196,1,SVA
197,1,SVA
198,1,SVA
199,1,SVA
200,1,SVA
201,1,SVA
202,1,SVA
203,1,SVA
204,1,SVA
205,1,SVA
206,1,SVA
207,1,SVA
